ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
SSP,E.W. Scripps Co,2018-11-13,2018-10-30,2018-11-13,2127818,3,1021.8,$500M-$5B,False,False,12.440568923950195,-2.92,-0.7,-2.69,2018-11-20,2018-11-23,2018-12-13,False,,7.7,23.65,-14.11,1.96,1.08,-0.75
SSP,E.W. Scripps Co,2018-11-16,2018-11-01,2018-11-15,2791411,3,1023.5,$500M-$5B,False,False,12.520360946655272,-1.33,-1.45,-7.73,2018-11-23,2018-11-26,2018-12-17,False,,10.56,20.68,-16.85,3.16,2.47,1.36
SSP,E.W. Scripps Co,2018-11-21,2018-11-06,2018-11-20,2627696,3,1001.3,$500M-$5B,False,False,12.353520393371582,1.88,3.7,-10.78,2018-11-28,2018-12-03,2018-12-21,False,,16.06,25.48,-26.32,6.27,5.96,2.48
SSP,E.W. Scripps Co,2018-11-21,2018-11-07,2018-11-21,2706533,3,1001.3,$500M-$5B,False,False,12.353520393371582,1.88,3.7,-10.78,2018-11-28,2018-12-03,2018-12-21,False,,16.06,25.48,-26.32,6.27,5.96,2.48
SSP,E.W. Scripps Co,2018-11-27,2018-11-13,2018-11-27,2578314,3,1001.9,$500M-$5B,False,False,12.585647583007812,-0.81,-2.82,-9.65,2018-12-04,2018-12-07,2018-12-27,False,,15.58,30.51,-32.14,6.1,5.09,1.0
SSP,E.W. Scripps Co,2018-11-28,2018-11-14,2018-11-28,2601628,3,1015.3,$500M-$5B,False,False,12.803266525268556,-2.21,-6.12,-11.41,2018-12-06,2018-12-10,2018-12-28,False,,14.74,28.78,-31.06,3.68,3.95,-0.44
SSP,E.W. Scripps Co,2018-11-30,2018-11-15,2018-11-29,2973614,3,1031.7,$500M-$5B,False,False,12.810521125793455,-4.53,-6.17,-10.67,2018-12-07,2018-12-10,2018-12-31,False,,20.32,29.19,-31.64,4.03,3.94,-0.52
SSP,E.W. Scripps Co,2018-12-04,2018-11-20,2018-12-04,2703936,3,1007.1,$500M-$5B,False,False,12.520362854003906,-1.91,-5.17,-5.81,2018-12-11,2018-12-14,2019-01-03,False,,30.6,34.91,-29.27,6.16,7.44,-0.47
SSP,E.W. Scripps Co,2018-12-07,2018-11-23,2018-12-06,2661859,3,986.6,$500M-$5B,False,False,12.019837379455566,-1.22,-3.88,2.96,2018-12-14,2018-12-17,2019-01-07,False,,35.27,37.35,-28.1,5.67,8.72,1.54
SSP,E.W. Scripps Co,2018-12-11,2018-11-27,2018-12-11,2595276,3,990.7,$500M-$5B,False,False,12.41880702972412,-6.56,-11.25,4.04,2018-12-18,2018-12-21,2019-01-10,False,,32.7,31.21,-28.82,7.92,10.5,4.94
SSP,E.W. Scripps Co,2018-12-12,2018-11-28,2018-12-12,2550984,3,1001.9,$500M-$5B,False,False,12.105971336364746,-5.41,-9.86,9.38,2018-12-19,2018-12-24,2019-01-11,False,,34.09,31.63,-26.96,6.95,9.8,3.76
SSP,E.W. Scripps Co,2018-12-14,2018-11-29,2018-12-13,2772560,3,957.8,$500M-$5B,False,False,11.553053855895996,-4.6,-5.54,15.18,2018-12-21,2018-12-24,2019-01-14,False,,40.93,37.06,-26.99,10.14,13.24,6.15
SSP,E.W. Scripps Co,2018-12-21,2018-12-06,2018-12-20,2363271,3,889.2,$500M-$5B,False,False,10.912835121154783,3.93,4.87,20.8,2018-12-28,2018-12-31,2019-01-22,False,,44.67,44.8,-8.87,21.28,25.39,23.06
GEF,Greif Inc,2019-01-02,2018-12-27,2018-12-31,641833,3,1519.5,$500M-$5B,True,False,27.45341682434082,8.45,8.17,8.9,2019-01-09,2019-01-14,2019-02-01,False,,13.0,2.07,7.59,13.99,12.9,16.39
