ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,insider_names
AERI,Aerie Pharmaceuticals Inc,2019-09-09,2019-09-09,2019-09-09,599400,2,Anido Vicente Jr; Rubino Richard J
HOME,At Home Group Inc.,2019-09-10,2019-08-26,2019-09-09,3851020,2,Bird Lewis L III; Sosin Clifford
PRU,Prudential Financial Inc,2019-09-10,2019-09-09,2019-09-09,1137848,3,Falzon Robert; Lowrey Charles F; Tanji Kenneth
CELH,"Celsius Holdings, Inc.",2019-09-16,2019-09-12,2019-09-12,7599996,4,Chau Hoi Shuen Solina Holly; Desantis Carl; Li Ka Shing; Milmoe William H.
SWTX,"Springworks Therapeutics, Inc.",2019-09-19,2019-09-17,2019-09-17,5850000,2,Lewis-Hall Freda C; Squinto Stephen P
IGMS,"Igm Biosciences, Inc.",2019-09-20,2019-09-18,2019-09-18,81670881,3,Haldor Topsoe Holding A/s; Topsoe Christina Teng; Topsoe Jakob Haldor
NVST,Envista Holdings Corp,2019-09-24,2019-09-20,2019-09-20,550000,4,Aghdaei Amir; Bludworth Curt W; Eriksson Patrik; Kappler Jeffrey
APRE,"Aprea Therapeutics, Inc.",2019-10-09,2019-10-07,2019-10-07,18999990,4,"5Am Ventures Iv, L.P.; Healthcap Vii, L.P.; Versant V Luxco S.A R.L.; Versant Vantage I, L.P."
SMTI,Sanara Medtech Inc.,2019-10-17,2019-10-15,2019-10-15,10000006,3,Howell S Oden Jr; Nixon Ronald T; Stuckert James W
HBT,"Hbt Financial, Inc.",2019-10-18,2019-10-16,2019-10-16,640000,3,Busch Patrick F; Carter James Lance; Doherty Matthew J
VIR,"Vir Biotechnology, Inc.",2019-10-18,2019-10-16,2019-10-16,40000000,2,Abu Dhabi Investment Authority; Nelsen Robert
NGM,Ngm Biopharmaceuticals Inc,2019-10-21,2019-10-14,2019-10-17,8178132,3,Column Group L P; Goeddel David V; Svennilson Peter
VIE,"Viela Bio, Inc.",2019-10-25,2019-10-07,2019-10-08,21050444,2,Astrazeneca Plc; Tong Xiaomeng
LLY,Eli Lilly &amp; Co,2019-10-28,2019-10-25,2019-10-25,1152064,3,Ricks David A; Skovronsky Daniel; White Anne E.
BRP,"Brp Group, Inc.",2019-10-28,2019-10-28,2019-10-28,4223800,2,Finney Joseph D.; Roche James Morgan
CADE,Cadence Bancorporation,2019-10-29,2019-10-28,2019-10-28,260720,2,Murphy Paul B Jr; Tortorici Samuel M.
CABA,"Cabaletta Bio, Inc.",2019-10-31,2019-10-29,2019-10-29,12699995,2,"5Am Ventures V, L.P.; Flynn James E"
DBD,"Diebold Nixdorf, Inc",2019-11-05,2019-10-31,2019-11-04,431422,2,Naher Ulrich; Schmid Gerrard
CTVA,"Corteva, Inc.",2019-11-06,2019-11-04,2019-11-04,418520,3,Friedman Gregory R; Gajaria Rajan; Glenn Timothy P
OYST,"Oyster Point Pharma, Inc.",2019-11-06,2019-11-04,2019-11-04,39420800,6,"Invopps Gp Iv, L.L.C.; Kkr Fund Holdings L.P.; Link William J Phd; Lochner Daniel; New Enterprise Associates 14, L.P.; Versant Venture Capital Vi, L.P."
FSRVU,Finserv Acquisition Corp.,2019-11-07,2019-11-05,2019-11-05,13300000,2,Einbinder Lee; Kurz Howard
CNFR,"Conifer Holdings, Inc.",2019-11-08,2019-11-06,2019-11-06,1599994,3,Petcoff Andrew; Petcoff James G; Petcoff Nicholas J
ESPR,"Esperion Therapeutics, Inc.",2019-11-08,2019-11-06,2019-11-06,2982460,2,Biotech Target N V; Mayleben Timothy M
SEE,Sealed Air Corp/de,2019-11-12,2019-11-07,2019-11-08,393270,2,Doheny Edward L II; Sullivan James M
MCD,McDonalds Corp,2019-11-12,2019-11-06,2019-11-07,984605,2,Hernandez Enrique Jr; Kempczinski Christopher J
